year,month,day,subCategory,state,sales,profit,date
2011,11,17,Storage,Delaware,2934.33,792.2691,
2014,10,13,Bookcases,New Jersey,2154.9,129.294,
2014,6,18,Machines,New York,3404.5,1668.205,
2013,9,20,Storage,Rhode Island,1606.23,481.869,
2011,6,21,Phones,New York,1214.85,352.3065,
2012,7,16,Chairs,California,1348.704,-219.1644,
2013,7,26,Copiers,Ohio,1439.976,191.9968,
2014,5,9,Copiers,California,3359.952,1049.985,
2014,9,23,Supplies,Pennsylvania,4663.736,-1049.3406,
2014,8,22,Binders,New York,4305.552,1453.1238,
2014,12,23,Chairs,Michigan,1586.69,412.5394,
2014,7,4,Machines,Washington,2395.2,209.58,
2014,11,21,Phones,New York,1259.97,327.5922,
2012,12,1,Tables,Washington,1913.4,401.814,
2013,5,28,Chairs,Michigan,3504.9,700.98,
2011,9,19,Machines,Texas,3059.982,-509.997,
2014,7,4,Accessories,Washington,1687.8,742.632,
2011,5,21,Binders,Virginia,2715.93,1276.4871,
2012,11,23,Appliances,New Jersey,2625.12,735.0336,
2013,11,4,Appliances,California,1101.48,429.5772,
2013,11,16,Binders,California,1016.792,381.297,
2013,4,8,Copiers,California,1199.976,374.9925,
2014,11,18,Copiers,Delaware,10499.97,5039.9856,
2014,8,16,Storage,Pennsylvania,1801.632,-337.806,
2013,6,10,Machines,Florida,695.7,-27.828,
2012,12,15,Accessories,Ohio,2025.36,607.608,
2012,8,24,Machines,Kentucky,3080,1416.8,
2012,12,24,Copiers,Missouri,4899.93,2302.9671,
2013,10,3,Copiers,Indiana,17499.95,8399.976,
2012,7,31,Tables,New York,1090.782,-290.8752,
2013,11,19,Accessories,Alabama,1319.96,527.984,
2014,11,29,Tables,Pennsylvania,2065.32,-619.596,
2012,8,31,Bookcases,California,1552.831,200.9546,
2014,1,27,Phones,Georgia,2939.93,764.3818,
2011,9,8,Machines,Texas,8159.952,-1359.992,
2011,11,19,Phones,New York,4548.81,1228.1787,
2014,6,30,Binders,California,895.92,302.373,
2013,11,27,Bookcases,California,3406.664,160.3136,
2012,12,6,Copiers,Indiana,999.98,449.991,
2014,12,25,Copiers,California,2879.952,1007.9832,
2011,9,29,Storage,Pennsylvania,1801.632,-337.806,
2014,9,15,Phones,New York,1079.85,323.955,
2014,5,8,Chairs,Michigan,1458.65,423.0085,
2012,10,12,Bookcases,New York,899.136,112.392,
2014,5,26,Binders,New York,663.92,207.475,
2013,12,6,Chairs,Wisconsin,1951.84,585.552,
2014,12,3,Phones,Nebraska,2479.96,743.988,
2011,9,12,Chairs,New York,3785.292,420.588,
2014,5,15,Accessories,California,1399.93,601.9699,
2013,11,27,Machines,Alabama,3040,1459.2,
2011,3,21,Phones,Virginia,3499.93,909.9818,
2013,7,29,Binders,Pennsylvania,1369.764,-913.176,
2014,11,2,Tables,Washington,2665.62,239.9058,
2014,10,2,Machines,New York,1704.89,767.2005,
2011,10,31,Chairs,Rhode Island,1604.9,481.47,
2014,12,20,Supplies,Louisiana,1665.62,33.3124,
2013,5,8,Machines,New York,3999.95,1159.9855,
2012,8,28,Copiers,Illinois,2799.96,874.9875,
2014,11,17,Machines,California,1919.976,215.9973,
2013,11,5,Tables,North Carolina,876.3,-292.1,
2011,10,31,Tables,Ohio,1421.664,-734.5264,
2011,11,4,Machines,New York,3991.98,1995.99,
2011,5,8,Copiers,Pennsylvania,1799.97,239.996,
2013,7,2,Copiers,Utah,1499.95,449.985,
2012,12,21,Tables,Washington,1618.37,356.0414,
2013,10,18,Appliances,Missouri,1927.59,751.7601,
2013,8,13,Accessories,Texas,1399.944,52.4979,
2013,2,12,Storage,Georgia,1350.12,175.5156,
2014,7,1,Tables,New York,1044.63,-295.9785,
2014,10,4,Binders,Minnesota,1793.98,843.1706,
2014,11,14,Chairs,Washington,2404.704,150.294,
2013,8,22,Tables,California,2887.056,180.441,
2014,11,20,Binders,Texas,1525.188,-2287.782,
2014,1,14,Supplies,Missouri,4164.05,83.281,
2013,9,20,Chairs,Rhode Island,872.32,244.2496,
2011,9,29,Tables,Washington,2348.82,399.2994,
2014,1,16,Appliances,Pennsylvania,1924.16,312.676,
2011,1,7,Chairs,Kentucky,2573.82,746.4078,
2014,12,1,Chairs,Pennsylvania,1079.316,-15.4188,
2013,7,1,Bookcases,Georgia,1266.86,291.3778,
2013,5,9,Storage,Ohio,1006.056,88.0299,
2013,10,5,Copiers,Rhode Island,5399.91,2591.9568,
2013,9,5,Copiers,California,2799.96,944.9865,
2013,3,4,Supplies,Texas,3930.072,-786.0144,
2011,10,14,Copiers,Texas,1999.96,624.9875,
2014,6,2,Appliances,Indiana,2405.2,793.716,
2014,6,17,Chairs,California,1212.96,90.972,
2012,12,19,Accessories,New Hampshire,2249.91,517.4793,
2014,5,2,Chairs,Florida,2803.92,0,
2014,7,22,Phones,California,1626.192,121.9644,
2014,4,9,Binders,Georgia,2690.97,1264.7559,
2014,2,18,Chairs,Ohio,899.43,-12.849,
2012,11,2,Chairs,New York,2621.322,553.3902,
2014,11,4,Tables,California,1673.184,20.9148,
2012,9,17,Bookcases,Pennsylvania,3083.43,-1665.0522,
2011,10,31,Phones,Arizona,742.336,83.5128,
2011,9,30,Appliances,Ohio,795.408,59.6556,
2014,12,3,Phones,Massachusetts,979.95,284.1855,
2013,6,5,Machines,New York,1349.85,364.4595,
2012,3,26,Tables,Washington,3393.68,610.8624,
2014,11,3,Chairs,Kentucky,975.92,292.776,
2011,8,27,Tables,Virginia,1202.94,300.735,
2014,10,14,Tables,Louisiana,1504.52,346.0396,
2014,11,20,Appliances,New York,2504.74,626.185,
2011,11,1,Phones,Colorado,1983.968,247.996,
2011,12,31,Accessories,Rhode Island,1687.8,742.632,
2014,11,10,Storage,Maryland,1633.14,473.6106,
2014,6,9,Bookcases,California,1497.666,140.9568,
2011,6,21,Phones,New Jersey,1322.93,357.1911,
2013,11,12,Tables,Indiana,2678.94,241.1046,
2014,9,5,Tables,California,1478.272,92.392,
2014,3,14,Copiers,Illinois,959.984,335.9944,
2013,12,12,Tables,California,892.136,111.517,
2013,12,19,Binders,New Jersey,1793.98,843.1706,
2014,10,22,Storage,Indiana,909.12,9.0912,
2014,9,15,Appliances,North Carolina,942.784,94.2784,
2012,12,6,Accessories,New York,1619.91,97.1946,
2013,12,24,Copiers,Rhode Island,1999.96,899.982,
2012,12,10,Copiers,New York,799.984,249.995,
2012,3,20,Binders,New York,1087.936,353.5792,
2012,12,15,Machines,Ohio,1799.994,-2639.9912,
2014,9,5,Bookcases,Illinois,825.174,-117.882,
2013,12,26,Chairs,New York,2563.056,313.2624,
2012,4,4,Copiers,Michigan,599.98,209.993,
2011,3,18,Bookcases,California,1198.33,70.49,
2012,10,31,Phones,California,1295.84,145.782,
2014,12,3,Chairs,California,1159.056,43.4646,
2013,12,4,Accessories,California,1649.95,659.98,
2014,1,4,Binders,California,2022.272,682.5168,
2012,12,1,Chairs,Washington,2003.92,125.245,
2012,11,14,Appliances,Virginia,826.11,322.1829,
2011,10,4,Chairs,New York,589.41,-6.549,
2013,4,7,Phones,Vermont,1294.75,336.635,
2014,10,22,Phones,Oklahoma,1439.92,374.3792,
2013,3,18,Appliances,Maryland,901.95,297.6435,
2011,2,12,Tables,Virginia,1256.22,75.3732,
2014,10,6,Machines,New York,5199.96,1351.9896,
2014,8,28,Accessories,Pennsylvania,1119.888,209.979,
2011,9,21,Copiers,Washington,1799.97,701.9883,
2013,4,3,Chairs,Wisconsin,1454.9,378.274,
2014,9,17,Binders,Pennsylvania,538.194,-412.6154,
2011,9,19,Machines,Texas,2519.958,-251.9958,
2013,6,7,Phones,California,3023.928,226.7946,
2014,9,3,Chairs,New York,1282.41,213.735,
2013,10,29,Furnishings,New York,756.8,75.68,
2011,4,25,Chairs,California,1487.04,148.704,
2013,5,31,Copiers,Ohio,839.988,69.999,
2014,8,18,Binders,New York,895.92,302.373,
2014,8,19,Binders,Washington,2793.528,942.8157,
2013,8,10,Appliances,North Carolina,569.536,64.0728,
2013,11,14,Phones,New York,2279.96,592.7896,
2014,11,11,Chairs,Arizona,899.136,-146.1096,
2013,10,26,Phones,Florida,783.96,78.396,
2011,9,9,Machines,North Carolina,1299.99,-571.9956,
2013,10,7,Machines,Colorado,703.71,-938.28,
2014,11,10,Storage,Maryland,544.38,157.8702,
2013,12,19,Storage,New York,900.08,117.0104,
2013,6,7,Storage,Massachusetts,714.3,207.147,
2014,10,16,Tables,California,510.24,6.378,
2011,4,30,Storage,Kentucky,826,214.76,
2012,9,1,Copiers,California,959.984,335.9944,
2012,12,30,Machines,California,2548.56,286.713,
2011,6,17,Binders,Washington,3266.376,1061.5722,
2014,12,23,Phones,Ohio,629.958,94.4937,
2013,5,22,Machines,Nevada,2396.4,179.73,
2014,2,20,Appliances,Georgia,1245.86,361.2994,
2012,7,25,Bookcases,Washington,704.9,56.392,
2012,4,16,Furnishings,Virginia,1196.86,119.686,
2013,6,13,Machines,Illinois,1007.979,43.1991,
2014,10,24,Tables,Rhode Island,637.896,-127.5792,
2011,1,14,Storage,California,1325.85,238.653,
2014,7,8,Phones,Pennsylvania,683.988,-113.998,
2011,8,27,Phones,Virginia,579.95,168.1855,
2014,1,31,Phones,Illinois,2003.168,250.396,
2014,3,27,Copiers,Texas,2399.96,569.9905,
2014,9,25,Phones,Ohio,1169.694,-253.4337,
2011,12,19,Chairs,Alabama,1819.86,163.7874,
2014,12,3,Storage,California,559.62,151.0974,
2012,11,8,Bookcases,Vermont,4404.9,1013.127,
2012,10,9,Accessories,Michigan,619.95,111.591,
2011,5,27,Phones,California,1113.504,125.2692,
2013,12,11,Chairs,Indiana,1424.9,356.225,
2011,12,27,Binders,Arizona,946.764,-694.2936,
2011,9,26,Chairs,California,585.552,73.194,
2012,8,9,Binders,New York,1217.568,456.588,
2011,12,16,Chairs,Florida,1013.832,101.3832,
2013,11,29,Storage,Georgia,1126.02,56.301,
2014,6,2,Chairs,Indiana,1925.88,539.2464,
2011,12,20,Accessories,Colorado,447.944,89.5888,
2013,12,6,Storage,Kentucky,584.82,70.1784,
2013,12,2,Phones,North Carolina,863.928,86.3928,
2012,9,21,Phones,Texas,946.344,118.293,
2013,9,6,Tables,Virginia,1652.94,314.0586,
2014,9,21,Chairs,New York,2888.127,609.7157,
2014,11,10,Accessories,Maryland,826.62,355.4466,
2014,12,10,Copiers,Kentucky,1399.98,629.991,
2011,9,7,Furnishings,Oklahoma,821.88,213.6888,
2014,9,21,Chairs,New York,2254.41,375.735,
2011,4,28,Phones,California,1679.96,125.997,
2012,9,22,Accessories,Pennsylvania,617.976,-7.7247,
2012,6,11,Chairs,Florida,1123.92,-182.637,
2014,8,18,Appliances,California,2518.29,654.7554,
2014,9,16,Binders,California,2357.488,884.058,
2014,12,22,Storage,California,1000.02,290.0058,
2011,7,26,Binders,Texas,2177.584,-3701.8928,
2011,8,4,Appliances,Utah,1089.75,305.13,
2014,6,27,Phones,Michigan,543.92,135.98,
2013,5,21,Phones,North Carolina,1363.96,85.2475,
2013,4,9,Binders,Texas,1088.792,-1850.9464,
2013,9,25,Binders,Illinois,442.372,-729.9138,
2013,9,4,Binders,Pennsylvania,1141.47,-760.98,
2013,4,15,Chairs,Arizona,933.536,105.0228,
2012,11,3,Chairs,New York,1448.82,209.274,
2012,7,25,Chairs,Washington,561.568,28.0784,
2014,5,7,Phones,North Carolina,627.168,70.5564,
2012,3,26,Storage,New York,1085.42,282.2092,
2012,8,28,Phones,Texas,1099.96,82.497,
2011,11,15,Accessories,California,772.47,146.7693,
2014,12,19,Appliances,New York,1704.56,511.368,
2011,11,9,Phones,California,703.968,87.996,
2012,3,22,Phones,California,1487.976,185.997,
2014,9,12,Binders,Washington,1471.96,459.9875,
2014,12,27,Storage,Nebraska,750.68,37.534,
2014,12,1,Appliances,Ohio,663.936,82.992,
2012,9,26,Phones,Texas,1114.4,376.11,
2013,11,9,Chairs,Kentucky,731.94,219.582,
2012,12,8,Phones,Texas,1718.4,150.36,
2014,8,8,Appliances,California,1473.1,412.468,
2014,1,3,Machines,North Carolina,695.7,-27.828,
2012,10,12,Bookcases,New York,626.352,46.9764,
2013,10,8,Machines,Washington,837.6,62.82,
2014,11,29,Furnishings,Maryland,1049.2,272.792,
2014,4,10,Binders,Michigan,478.24,219.9904,
2013,11,29,Storage,Georgia,1263.3,315.825,
2014,9,25,Chairs,Illinois,520.464,-14.8704,
2014,7,15,Phones,Ohio,1889.946,-377.9892,
2013,9,19,Chairs,California,885.528,-99.6219,
2014,5,21,Storage,North Dakota,704.76,162.0948,
2014,11,27,Phones,New York,979.95,264.5865,
2013,10,14,Tables,Colorado,727.45,-465.568,
2014,12,29,Storage,California,725.84,210.4936,
2014,9,23,Accessories,New York,1071,171.36,
2014,3,28,Bookcases,Texas,1023.332,-30.098,
2014,9,23,Phones,Delaware,391.98,113.6742,
2012,8,9,Phones,New York,979.95,274.386,
2011,6,9,Tables,Virginia,1441.3,245.021,
2011,11,14,Phones,Connecticut,832.93,233.2204,
2012,10,30,Machines,New York,1035.8,269.308,
2014,9,5,Tables,California,1322.352,-99.1764,
2013,12,2,Chairs,Connecticut,751.92,150.384,
2011,12,15,Chairs,Texas,763.28,-21.808,
2014,11,12,Appliances,Florida,1158.12,130.2885,
2014,2,12,Chairs,Washington,963.136,108.3528,
2013,4,23,Tables,Arizona,1272.63,-814.4832,
2012,9,25,Accessories,New York,899.91,395.9604,
2013,11,25,Binders,Washington,1219.96,381.2375,
2013,9,3,Accessories,North Carolina,1012.68,303.804,
2013,10,22,Bookcases,Connecticut,1043.92,271.4192,
2013,8,31,Chairs,Pennsylvania,786.744,-258.5016,
2011,7,11,Phones,Texas,575.968,43.1976,
2014,12,15,Copiers,Massachusetts,1199.98,467.9922,
2014,11,3,Binders,California,590.352,206.6232,
2011,6,28,Chairs,Pennsylvania,1228.465,0,
2012,10,31,Bookcases,California,425.833,20.0392,
2012,12,27,Tables,Ohio,1548.99,-464.697,
2014,5,15,Chairs,Texas,899.43,-12.849,
2014,11,25,Storage,Kentucky,1443.96,375.4296,
2014,12,3,Appliances,Massachusetts,286.86,80.3208,
2014,6,26,Tables,Washington,871.4,148.138,
2011,10,13,Tables,Washington,1298.55,311.652,
2012,4,16,Copiers,Illinois,1439.968,485.9892,
2011,1,14,Storage,Louisiana,572.58,34.3548,
2011,9,20,Bookcases,New York,801.568,-10.0196,
2011,5,13,Binders,Florida,398.352,-331.96,
2011,3,31,Chairs,Florida,1125.488,98.4802,
2011,6,21,Phones,New York,617.97,160.6722,
2014,7,29,Phones,California,1145.6,100.24,
2014,9,27,Binders,California,931.176,314.2719,
2013,1,4,Copiers,North Carolina,959.968,119.996,
2011,9,29,Storage,New York,1395.54,362.8404,
2014,12,23,Accessories,California,474.95,142.485,
2013,5,24,Phones,Illinois,1979.928,148.4946,
2014,9,10,Phones,Pennsylvania,1931.958,-386.3916,
2012,5,8,Copiers,New York,2799.944,1014.9797,
2014,7,24,Accessories,Wisconsin,399.95,143.982,
2014,8,19,Accessories,Washington,1496.16,224.424,
2012,12,1,Chairs,California,2676.672,267.6672,
2014,12,26,Paper,Alabama,629.1,301.968,
2014,8,11,Phones,Indiana,1454.49,378.1674,
2011,1,14,Accessories,Louisiana,646.74,258.696,
2012,12,13,Phones,California,494.376,49.4376,
2013,9,3,Machines,Illinois,1362.9,-19.47,
2012,7,16,Accessories,New York,599.9,191.968,
2014,7,18,Bookcases,California,1194.165,210.735,
2013,12,9,Phones,Texas,1097.544,123.4737,
2012,6,11,Storage,Florida,1036.624,51.8312,
2014,11,29,Furnishings,Pennsylvania,1007.232,75.5424,
2011,10,18,Phones,Alabama,1394.95,362.687,
2011,4,11,Phones,Texas,758.352,265.4232,
2011,9,20,Phones,New York,1349.91,661.4559,
2011,12,31,Bookcases,New York,1573.488,196.686,
2012,12,25,Copiers,California,1199.96,224.9925,
2014,3,29,Storage,California,795.48,7.9548,
2012,9,13,Chairs,California,717.72,71.772,
2014,12,30,Chairs,Kentucky,1207.84,314.0384,
2013,11,15,Accessories,Georgia,499.98,114.9954,
2012,5,31,Bookcases,Utah,1406.86,140.686,
2013,9,12,Copiers,Virginia,1599.92,751.9624,
2014,8,28,Tables,Massachusetts,1488.424,-297.6848,
2012,5,14,Storage,California,1117.92,55.896,
2014,10,14,Appliances,New York,904.9,253.372,
2013,11,15,Copiers,Pennsylvania,1199.976,179.9964,
2013,7,5,Bookcases,California,1279.165,225.735,
2014,6,6,Phones,Texas,470.376,52.9173,
2012,12,19,Tables,New Hampshire,1053.164,-105.3164,
2013,6,18,Chairs,Colorado,483.136,54.3528,
2013,7,26,Chairs,Wisconsin,403.56,96.8544,
2014,1,9,Tables,Washington,892.98,80.3682,
2012,12,6,Storage,Nevada,1325.85,238.653,
2013,3,14,Storage,Pennsylvania,552.56,-138.14,
2014,12,11,Tables,Nevada,1669.6,116.872,
2012,5,22,Phones,California,775.728,58.1796,
2014,5,21,Phones,Nevada,1123.128,70.1955,
2011,11,24,Phones,Ohio,1049.97,-209.994,
2012,8,21,Chairs,California,544.008,40.8006,
2012,7,16,Chairs,California,700.152,78.7671,
2013,12,18,Tables,California,2003.52,-325.572,
2014,4,9,Storage,New Jersey,2591.56,621.9744,
2011,12,1,Chairs,Ohio,909.72,-51.984,
2011,12,27,Chairs,New York,767.214,161.9674,
2012,9,13,Chairs,Indiana,1516.2,394.212,
2013,2,7,Phones,California,623.96,38.9975,
2011,12,28,Appliances,Massachusetts,1737.18,503.7822,
2012,3,1,Bookcases,Texas,1227.9984,-36.1176,
2011,11,23,Chairs,California,603.92,-67.941,
2011,11,17,Binders,New York,2152.776,726.5619,
2014,11,5,Tables,North Carolina,523.764,-192.0468,
2012,8,16,Phones,Arizona,1879.96,211.4955,
2013,8,22,Tables,Pennsylvania,815.292,-339.705,
2012,1,30,Machines,California,1919.976,215.9973,
2014,12,3,Binders,Pennsylvania,631.176,-462.8624,
2012,11,29,Chairs,Michigan,1106.91,121.7601,
2014,12,8,Binders,Illinois,1889.99,-2929.4845,
2013,1,21,Chairs,California,1013.488,76.0116,
2011,9,10,Chairs,Oregon,1487.04,148.704,
2013,4,16,Chairs,California,1121.568,0,
2011,12,31,Phones,Nevada,475.944,59.493,
2011,4,20,Tables,Texas,744.1,-95.67,
2012,4,30,Phones,Ohio,1022.97,-255.7425,
2014,3,12,Binders,Michigan,895.92,421.0824,
2013,8,13,Storage,New York,1591.02,286.3836,
2012,12,4,Binders,Tennessee,1598.058,-1065.372,
2014,10,3,Storage,California,1575.14,204.7682,
2014,10,20,Binders,North Carolina,1633.188,-1306.5504,
2011,9,20,Chairs,New York,631.782,140.396,
2014,6,19,Bookcases,California,917.9235,75.5937,
2013,11,4,Tables,Kentucky,842.94,160.1586,
2011,11,11,Binders,Washington,2033.584,762.594,
2012,9,21,Chairs,South Carolina,1690.04,422.51,
2014,9,15,Chairs,New York,589.41,-6.549,
2012,9,24,Phones,Oklahoma,821.94,213.7044,
2012,7,12,Phones,Illinois,537.544,53.7544,
2012,11,21,Accessories,Indiana,393.54,165.2868,
2014,11,29,Phones,New York,1979.89,494.9725,
2014,12,1,Chairs,New York,1242.9,262.39,
2011,5,30,Phones,New York,464,134.56,
2014,9,18,Phones,Texas,1415.76,88.485,
2013,4,25,Chairs,Colorado,1325.76,149.148,
2013,5,31,Tables,Virginia,2275.5,386.835,
2011,12,1,Chairs,Texas,674.058,-19.2588,
2014,9,16,Bookcases,Massachusetts,782.94,203.5644,
2013,6,12,Tables,California,902.712,33.8517,
2011,5,2,Copiers,Florida,479.984,89.997,
2012,9,17,Bookcases,New York,2003.92,-25.049,
2011,12,2,Bookcases,New York,883.92,-110.49,
2013,12,24,Storage,Washington,1117.92,55.896,
2012,12,6,Phones,Ohio,485.94,-89.089,
2011,9,14,Appliances,New York,601.3,198.429,
2012,12,7,Phones,New York,773.94,224.4426,
2011,11,28,Furnishings,South Carolina,397.6,43.736,
2014,12,25,Storage,Washington,1003.62,0,
2012,11,17,Chairs,Oklahoma,1323.9,383.931,
2014,1,23,Copiers,Montana,2999.95,1379.977,
2012,10,9,Phones,New York,631.96,303.3408,
2011,11,17,Paper,California,733.95,352.296,
2011,6,1,Appliances,Minnesota,1503.25,496.0725,
2014,4,18,Machines,Colorado,2549.985,-3399.98,
2013,2,5,Phones,Georgia,484.83,126.0558,
2014,9,25,Accessories,Minnesota,655.9,275.478,
2014,6,20,Chairs,Ohio,760.116,-43.4352,
2012,1,3,Bookcases,Texas,1352.3976,-437.5404,
2014,1,20,Chairs,Pennsylvania,887.271,-63.3765,
2011,12,20,Tables,Virginia,455.1,100.122,
2012,10,2,Phones,California,503.96,50.396,
2013,1,30,Phones,Illinois,1439.968,143.9968,
2012,9,27,Phones,Virginia,1871.88,561.564,
2014,9,3,Phones,Michigan,1199.8,323.946,
2013,10,15,Accessories,Wisconsin,1649.75,544.4175,
2012,4,4,Appliances,Michigan,644.076,107.346,
2014,11,13,Phones,Arizona,671.984,50.3988,
2013,12,12,Chairs,California,363.92,-31.843,
2014,10,14,Storage,Kentucky,348.56,104.568,
2014,10,8,Accessories,California,1115.91,200.8638,
2012,10,1,Phones,Oregon,572.8,50.12,
2012,5,31,Chairs,Minnesota,2567.84,770.352,
2011,8,5,Chairs,Connecticut,1133.35,294.671,
2011,11,23,Chairs,California,381.44,23.84,
2011,9,14,Tables,New York,464.292,-108.3348,
2014,9,1,Chairs,Washington,569.568,7.1196,
2012,4,17,Appliances,California,1447.65,419.8185,
2012,12,4,Phones,New York,1799.75,539.925,
2014,6,16,Phones,Tennessee,2239.936,223.9936,
2013,7,15,Phones,Arizona,380.864,38.0864,
2012,9,24,Chairs,Iowa,1408.1,394.268,
2013,7,31,Appliances,California,715.64,178.91,
2014,12,1,Tables,North Carolina,1781.682,-653.2834,
2014,5,7,Storage,Texas,772.68,-57.951,
2012,4,5,Chairs,California,892.224,89.2224,
2014,3,17,Phones,Ohio,445.44,-81.664,
2011,11,28,Machines,Texas,998.85,-199.77,
2011,6,1,Phones,Arkansas,881.93,229.3018,
2011,12,16,Phones,California,627.168,70.5564,
2013,3,18,Furnishings,Maryland,971.5,252.59,
2011,11,24,Phones,Ohio,1502.376,-250.396,
2012,6,22,Tables,Illinois,796.425,-525.6405,
2012,5,24,Chairs,Illinois,602.651,-163.5767,
2014,7,27,Accessories,California,1649.95,659.98,
2011,9,8,Chairs,Washington,975.92,121.99,
2013,11,8,Chairs,Wyoming,1603.136,100.196,
2013,11,13,Tables,California,674.352,-8.4294,
2012,11,21,Tables,Pennsylvania,1252.704,-480.2032,
2014,1,3,Tables,Texas,913.43,-169.637,
2011,3,28,Tables,Iowa,1184.72,106.6248,
2013,9,11,Phones,Texas,719.96,53.997,
2014,10,31,Appliances,California,1702.12,510.636,
2013,2,3,Chairs,Kentucky,866.4,225.264,
2013,1,31,Binders,Georgia,1270.99,635.495,
2013,3,16,Chairs,California,1352.032,84.502,
2014,6,30,Tables,Texas,307.314,-39.5118,
2013,8,3,Phones,California,333.576,33.3576,
2014,11,10,Chairs,California,215.976,-2.6997,
2014,9,12,Appliances,California,406.6,113.848,
2014,4,1,Phones,Kentucky,671.93,188.1404,
2014,8,8,Phones,California,707.88,44.2425,
2013,11,11,Storage,California,720.76,187.3976,
2011,11,25,Storage,New York,1117.92,55.896,
2013,11,13,Chairs,Ohio,1537.074,0,
2012,5,3,Accessories,California,339.96,122.3856,
2014,7,4,Furnishings,New Mexico,545.85,114.6285,
2014,10,31,Chairs,Washington,614.272,-23.0352,
2011,12,5,Art,Arizona,1113.024,111.3024,
2013,12,4,Chairs,New York,542.646,102.4998,
2013,8,27,Chairs,Texas,1024.716,-29.2776,
2013,7,4,Appliances,New York,706.86,197.9208,
2014,7,16,Tables,Virginia,872.94,157.1292,
2012,11,2,Accessories,Washington,447.93,49.2723,
2014,8,22,Tables,California,568.728,28.4364,
2014,8,2,Machines,Texas,1439.982,-263.9967,
2014,10,23,Chairs,Colorado,579.136,-28.9568,
2011,8,2,Storage,Missouri,838.38,226.3626,
2014,4,30,Tables,Ohio,1048.35,-69.89,
2012,9,14,Storage,New York,991.2,257.712,
2013,11,13,Chairs,Ohio,1474.802,-21.0686,
2014,10,3,Tables,Tennessee,2314.116,-1002.7836,
2014,11,11,Binders,New York,931.176,314.2719,
2012,10,31,Chairs,California,323.136,20.196,
2012,4,28,Binders,Michigan,3812.97,1906.485,
2012,8,21,Chairs,Ohio,598.458,-42.747,
2013,1,8,Bookcases,Wisconsin,1565.88,407.1288,
2014,3,14,Supplies,Colorado,1332.496,-299.8116,
2012,9,7,Accessories,New York,559.93,167.979,
2012,3,29,Chairs,Florida,1166.92,131.2785,
2012,3,19,Bookcases,Texas,383.4656,-67.6704,
2014,10,22,Chairs,Florida,683.952,42.747,
2012,11,11,Storage,Michigan,418.32,117.1296,
2013,12,3,Storage,Rhode Island,2079.4,582.232,
2011,3,17,Tables,New York,1579.746,-447.5947,
2012,3,24,Bookcases,Illinois,359.058,-35.9058,
2014,3,26,Copiers,California,479.984,59.998,
2013,12,26,Tables,Washington,1747.25,629.01,
2011,4,11,Accessories,Florida,383.976,81.5949,
2012,10,19,Appliances,California,1640.7,459.396,
2011,9,9,Chairs,Massachusetts,785.88,212.1876,
2013,6,24,Phones,California,862.344,97.0137,
